algorithm,time_elapsed,coverage_type,category,mean,std,min,max,sample_size
collaborative,536,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,536,code,large,90.34554535303586,16.61303947194005,33.522504892367905,99.86807387862797,125
collaborative,538,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,538,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,538,code,large,90.34554535303589,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,540,code,global,90.20135928433228,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,540,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,540,code,large,90.34554535303589,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,542,code,global,90.20135928433227,16.67606191282501,33.522504892367905,99.86807387862797,127
collaborative,542,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,542,code,large,90.34554535303587,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,544,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,544,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,544,code,large,90.3455453530359,16.61303947194005,33.522504892367905,99.86807387862797,125
collaborative,546,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,546,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,546,code,large,90.3455453530359,16.613039471940056,33.522504892367905,99.86807387862797,125
collaborative,548,code,global,90.20135928433227,16.67606191282501,33.522504892367905,99.86807387862797,127
collaborative,548,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,548,code,large,90.34554535303587,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,550,code,global,90.20135928433226,16.67606191282501,33.522504892367905,99.86807387862797,127
